bbc_id,id,model,summary,hallucination_score,faithfulness_score
34687720,0,BERTS2S,rory mcilroy will take a one-shot lead into the final round of the wgc-hsbc champions after carding a three-under,0.7894736842105262,0.21052631578947378
21267591,1,BERTS2S,the leader of bahrain\'s main opposition party has said there needs to be dialogue between the kingdom\'s crown prince and government.,0.07936507936507936,0.9206349206349207
29347895,2,BERTS2S,veteran classical music conductor christopher hogwood has died at the age of 83.,0.3846153846153846,0.6153846153846154
37618111,3,BERTS2S,the number of homicides recorded by police in scotland has fallen to its lowest level since 2009.,0.0588235294117647,0.9411764705882353
37895159,4,BERTS2S,"bournemouth manager eddie howe says his side are "" struggling "" after losing 2-0 to hull on saturday.",0.5370370370370371,0.4629629629629629
34148931,5,BERTS2S,"australia\'s prime minister tony abbott has said his country has "" no regrets "" over the controversial immigration policy.",0.2631578947368421,0.736842105263158
37546354,6,BERTS2S,the us says it has suspended talks with russia over a cessation of hostilities in syria.,0.0625,0.9375
19311364,7,BERTS2S,"the government should sell off some of the most expensive social housing stock in the uk, the government has said.",0.3333333333333333,0.6666666666666667
22299596,8,BERTS2S,a post-mortem examination has concluded that a man died from measles and measles.,0.6666666666666666,0.33333333333333337
34593064,9,BERTS2S,a man has been charged with the rape of a teenage boy in cumbria.,0.07142857142857142,0.9285714285714286
39263182,10,BERTS2S,gateshead remain unbeaten in the national league after being held to a draw by guiseley.,0.0,1.0
25840979,11,BERTS2S,plans for a new stadium for bristol city have been given the go-ahead by the city council.,0.2745098039215686,0.7254901960784315
13599161,12,BERTS2S,shale gas drilling in lancashire has been suspended after a magnitude-7. 5 earthquake struck.,0.14285714285714285,0.8571428571428572
38333121,13,BERTS2S,a football busker has been found guilty of defrauding the victims of the hillsborough disaster.,0.06666666666666668,0.9333333333333333
38034979,14,BERTS2S,ipswich town ended qpr\'s seven-game winning run in the championship with a comfortable win at carrow road.,0.5882352941176471,0.4117647058823529
36329854,15,BERTS2S,worcestershire all-rounder wells wells has signed a new two-year contract with the club.,1.0,0.0
38595401,16,BERTS2S,truro city head coach marek churcher has praised his side\'s performance in the first half of their national rugby league campaign.,0.6190476190476191,0.38095238095238093
33183140,17,BERTS2S,indian police have arrested a man in connection with the rape of a nun in the eastern city of kolkata ( calcutta ) in march.,0.10666666666666667,0.8933333333333333
32539063,18,BERTS2S,the bbc has released a series of information about the uk\'s food market and how they have changed since the start of the decade.,0.2083333333333333,0.7916666666666667
37471830,19,BERTS2S,two people in south west scotland have been targeted by telephone scams.,0.75,0.25
40642906,20,BERTS2S,castleford tigers have appointed former scotland international kevin duffy as their new head coach.,0.7857142857142857,0.2142857142857143
38630833,21,BERTS2S,a motorcyclist has been airlifted to hospital after falling on a beach in rhondda cynon taff.,0.3958333333333333,0.6041666666666667
